,artist_name,number_of_songs
0,Afroditi Manou,64
1,Akis Panou,85
2,Alexandros Emmanouilidis,13
3,Alkinoos Ioannidis,94
4,Alkis Alkaios,13
5,Alkistis Protopsalti,11
6,Apostolos Rizos,28
7,Arleta,66
8,Cafe Aman Amerika,14
9,Christos Leontis,16
10,Christos Thivaios,62
11,Danai Panagiotopoulou,20
12,Diafana Krina,47
13,Dimitra Galani,11
14,Dimitris Karras,11
15,Dimitris Lagios,45
16,Dimitris Mitropanos,129
17,Dimitris Mystakidis,16
18,Dimitris Zervoudakis,91
19,Dimos Moutsis,63
20,Dionisis Tsaknis,197
21,Dionysis Savvopoulos,118
22,Eftyhia Papagiannopoulou,25
23,Eleftheria Arvanitaki,63
24,Elenh & Souzana Vougioukli,16
25,Eleni Vitali,69
26,Eleonora Zouganeli,10
27,Endelehia,27
28,Evgenios Dermitasoglou,7
29,Fivos Delivorias,78
30,Flery Dandonaki,1
31,George Dalaras,101
32,Giannis Aggelakas,23
33,Giannis Haroulis,12
34,Giannis Miliokas,76
35,Giannis Parios,45
36,Giannis Poulopoulos,34
37,Giannis Spanos,12
38,Giorgos Karadimos,10
39,Giorgos Stavrianos,1
40,Giorgos Zampetas,78
41,Grigoris Bithikotsis,12
42,Hainides,46
43,Haris & Panos Katsimihas,66
44,Haris Alexiou,207
45,Ilias Andriopoulos,59
46,Irini Qn,10
47,Kostas Grigoreas,18
48,Lakis Papadopoulos,19
49,Lavrentis Machairitsas,110
50,Lena Platonos,25
51,Linos Kokotos,9
52,Loukianos Kilaidonis,128
53,Makrina Xaderfia,45
54,Manolis Famellos,23
55,Manolis Mitsias,3
56,Manos Eleftheriou,13
57,Manos Hadjidakis,241
58,Manos Loizos,119
59,Maria Dimitriadi,9
60,Maria Farantouri,13
61,Marietta Fafouti,11
62,Markos Vamvakaris,72
63,Melina Aslanidou,11
64,Michalis Grigoriou,7
65,Mikis Theodorakis,79
66,Miltos Pashalidis,71
67,Nana Mouskouri,12
68,Natassa Bofiliou,25
69,Nikolas Asimos,19
70,Nikos Gounaris,16
71,Nikos Papazoglou,58
72,Nikos Portokaloglou,100
73,Nikos Xilouris,29
74,Orfeas Peridis,59
75,Pantelis Thalassinos,149
76,Pavlos Sidiropoulos,59
77,Petros Gaitanos,11
78,Pix Lax,133
79,Rita Antonopoulou,14
80,Sokratis Malamas,151
81,Sotiria Bellou,83
82,Stathis Drogosis,11
83,Stavros Kougioumtzis,24
84,Stavros Ksarhakos,89
85,Stratos Dionisiou,40
86,Stratos Pagioumtzis,18
87,Tania Tsanaklidou,11
88,Thanasis Papakonstantinou,129
89,Thanos Mikroutsikos,102
90,Thomas Bakalakos,13
91,Tripes,76
92,Tzimis Panousis,54
93,Vaggelis Germanos,12
94,Vasilis Kazoulis,49
95,Vasilis Papakonstadinou,107
96,Vasilis Skoulas,8
97,Vicky Mosholiou,41
98,Xilina Spathia,40
99,Yorgos Kazantzis,15
100,Ypogia Revmata,88
101,Κόρε. Ύδρο.,27
